onset	duration	stim	cond	resp	acc	RT
132.282	0.658	SHOWMAN	lure	n/a	1	n/a
132.949	0.378	ABSTINENCE	lure	n/a	1	n/a
133.332	0.483	SMUDGE	lure	n/a	1	n/a
133.832	0.49	ATHLETE	lure	n/a	1	n/a
134.332	0.649	OAT	lure	n/a	1	n/a
134.999	0.446	LIFETIME	lure	n/a	1	n/a
135.449	0.647	FERTILITY	lure	n/a	1	n/a
136.099	0.565	RETIREMENT	lure	n/a	1	n/a
136.682	0.407	LOVEBIRD	lure	n/a	1	n/a
137.099	0.894	DEFEATISM	lure	n/a	1	n/a
137.999	0.501	SAUNA	lure	n/a	1	n/a
138.515	0.602	BLIZZARD	short	n/a	1	n/a
139.132	0.613	SPOKESMAN	lure	n/a	1	n/a
139.749	0.715	BLEMISH	lure	n/a	1	n/a
140.482	0.644	SCRUPLE	lure	n/a	1	n/a
141.132	0.727	STOKER	lure	n/a	1	n/a
141.865	0.739	WARREN	lure	n/a	1	n/a
142.682	0.522	SCHOOLROOM	lure	n/a	1	n/a
143.215	0.357	MONGOOSE	lure	n/a	1	n/a
143.582	0.658	CARRIER	lure	n/a	1	n/a
144.249	0.732	GLASSHOUSE	lure	n/a	1	n/a
144.999	0.426	WATERCOLOR	lure	n/a	1	n/a
145.432	0.562	HEADLAMP	lure	n/a	1	n/a
145.999	0.502	FOUNDER	lure	n/a	1	n/a
146.515	0.602	FOIL	short	n/a	1	n/a
147.132	0.581	THEW	lure	n/a	1	n/a
147.732	0.5	PLURALITY	lure	n/a	1	n/a
148.249	0.703	RESPITE	lure	n/a	1	n/a
148.965	0.351	REGGAE	lure	n/a	1	n/a
149.332	0.367	QUICKSAND	lure	n/a	1	n/a
149.715	0.457	ANTHOLOGY	lure	n/a	1	n/a
150.182	0.64	ASSUMPTION	lure	n/a	1	n/a
150.832	0.391	BUZZARD	lure	n/a	1	n/a
151.235	0.44	LAWMAN	lure	n/a	1	n/a
151.682	0.499	STARDOM	lure	n/a	1	n/a
152.198	0.467	RAPIDITY	lure	n/a	1	n/a
152.682	0.609	PALACE	lure	n/a	1	n/a
153.382	0.619	FORGERY	lure	n/a	1	n/a
154.015	0.502	RHUBARB	lure	n/a	1	n/a
154.532	2.003	COAL	long	n/a	1	n/a
156.548	0.52	SILK	lure	n/a	1	n/a
157.082	0.628	SMOG	lure	n/a	1	n/a
157.715	0.725	ZONE	lure	n/a	1	n/a
158.448	0.512	FRAGILITY	lure	n/a	1	n/a
158.965	0.39	GRID	lure	n/a	1	n/a
159.365	0.488	BUFFOON	lure	n/a	1	n/a
159.865	0.346	SPELLER	lure	n/a	1	n/a
160.215	0.746	COMPETENCY	lure	n/a	1	n/a
160.965	0.656	DESERT	lure	n/a	1	n/a
161.633	0.359	APATHY	lure	n/a	1	n/a
161.998	0.503	GROWER	lure	n/a	1	n/a
162.515	0.601	ANCHOR	short	n/a	1	n/a
163.132	0.598	VIVACITY	lure	n/a	1	n/a
163.748	0.328	LANDLORD	lure	n/a	1	n/a
164.082	0.647	BOMBER	lure	n/a	1	n/a
164.748	0.54	STEPFATHER	lure	n/a	1	n/a
165.3	0.34	GRANDCHILD	lure	n/a	1	n/a
165.732	0.458	PARTIALITY	lure	n/a	1	n/a
166.198	0.319	JACKRABBIT	lure	n/a	1	n/a
166.532	0.51	BATCH	lure	n/a	1	n/a
167.048	0.346	REPEATER	lure	n/a	1	n/a
167.398	0.39	TURNOVER	lure	n/a	1	n/a
167.798	0.479	UTILITY	lure	n/a	1	n/a
168.282	0.597	CONCEIT	lure	n/a	1	n/a
168.898	0.379	EMPEROR	lure	n/a	1	n/a
169.282	0.711	VIRTUE	lure	n/a	1	n/a
169.998	0.502	CYNIC	lure	n/a	1	n/a
170.515	1.003	PEACH	fruit	detect	1	588
171.532	0.476	BUMMER	lure	n/a	1	n/a
172.02	0.471	LOOPHOLE	lure	n/a	1	n/a
172.498	0.349	WORKBASKET	lure	n/a	1	n/a
172.865	0.492	MENTOR	lure	n/a	1	n/a
173.365	0.327	STRINGENCY	lure	n/a	1	n/a
173.698	0.549	BRINE	lure	n/a	1	n/a
174.265	0.374	SHELLFISH	lure	n/a	1	n/a
174.648	0.518	ACCOMPLICE	lure	n/a	1	n/a
175.181	0.593	BOUNTY	lure	n/a	1	n/a
175.865	0.517	NEWSFLASH	lure	n/a	1	n/a
176.398	0.515	PENINSULA	lure	n/a	1	n/a
176.931	0.626	MACK	lure	n/a	1	n/a
177.565	0.428	GUNSLINGER	lure	n/a	1	n/a
177.998	0.502	SPRITE	lure	n/a	1	n/a
178.515	2.002	RAIL	long	n/a	1	n/a
180.531	0.632	PATRON	lure	n/a	1	n/a
181.181	0.325	HYPNOTIST	lure	n/a	1	n/a
181.515	0.362	HOUSEBOAT	lure	n/a	1	n/a
181.881	0.35	SWORDSMAN	lure	n/a	1	n/a
182.248	0.586	ODDITY	lure	n/a	1	n/a
182.848	0.68	JACKAL	lure	n/a	1	n/a
183.548	0.444	BENEFACTOR	lure	n/a	1	n/a
183.998	0.502	SANCTUARY	lure	n/a	1	n/a
184.515	2.003	DISC	long	n/a	1	n/a
186.531	0.373	PROM	lure	n/a	1	n/a
186.915	0.734	ASPIRIN	lure	n/a	1	n/a
187.665	0.646	VALENCE	lure	n/a	1	n/a
188.315	0.502	TRIBE	lure	n/a	1	n/a
188.831	0.604	POWDERPUFF	lure	n/a	1	n/a
189.519	0.385	DILEMMA	lure	n/a	1	n/a
189.915	0.731	HEADHUNTER	lure	n/a	1	n/a
190.665	0.699	SLEIGH	lure	n/a	1	n/a
191.381	0.591	FIREBUG	lure	n/a	1	n/a
191.981	0.326	COUPLET	lure	n/a	1	n/a
192.315	0.736	IMPORT	lure	n/a	1	n/a
193.065	0.601	AMORALITY	lure	n/a	1	n/a
193.681	0.312	RICE	lure	n/a	1	n/a
193.998	0.503	ABODE	lure	n/a	1	n/a
194.515	0.603	SOAP	short	n/a	1	n/a
195.131	0.451	ICEBREAKER	lure	n/a	1	n/a
195.598	0.351	SNAPBACK	lure	n/a	1	n/a
195.965	0.325	GOOSE	lure	n/a	1	n/a
196.298	0.613	FATALITY	lure	n/a	1	n/a
196.915	0.637	REALTY	lure	n/a	1	n/a
197.565	0.481	ONLOOKER	lure	n/a	1	n/a
198.065	0.604	POLYNOMIAL	lure	n/a	1	n/a
198.681	0.336	TEPEE	lure	n/a	1	n/a
199.031	0.713	FIREBOX	lure	n/a	1	n/a
199.748	0.423	CORROSION	lure	n/a	1	n/a
200.248	0.481	BRAINCHILD	lure	n/a	1	n/a
200.748	0.726	BEAUTY	lure	n/a	1	n/a
201.481	0.512	DORM	lure	n/a	1	n/a
201.998	0.502	SAC	lure	n/a	1	n/a
202.514	0.601	COAST	short	n/a	1	n/a
203.131	0.35	PLUMBER	lure	n/a	1	n/a
203.498	0.357	VENDOR	lure	n/a	1	n/a
203.864	0.689	DOCTORATE	lure	n/a	1	n/a
204.566	0.717	TABLEWARE	lure	n/a	1	n/a
205.298	0.653	ENCLAVE	lure	n/a	1	n/a
205.964	0.731	CRITIC	lure	n/a	1	n/a
206.714	0.652	ARTISTRY	lure	n/a	1	n/a
207.381	0.611	KITE	lure	n/a	1	n/a
207.998	0.502	RESTRAINT	lure	n/a	1	n/a
208.514	2.001	SUMMIT	long	n/a	1	n/a
210.531	0.527	WARTHOG	lure	n/a	1	n/a
211.064	0.303	FRESHMEN	lure	n/a	1	n/a
211.381	0.336	VERB	lure	n/a	1	n/a
211.731	0.466	EUPHEMISM	lure	n/a	1	n/a
